"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1982","Total","January","Data tabulated by year of occurrence","Final figure, complete","1983","311000",""
"United States of America","1982","Total","February","Data tabulated by year of occurrence","Final figure, complete","1983","281000",""
"United States of America","1982","Total","March","Data tabulated by year of occurrence","Final figure, complete","1983","298000",""
"United States of America","1982","Total","April","Data tabulated by year of occurrence","Final figure, complete","1983","287000",""
"United States of America","1982","Total","May","Data tabulated by year of occurrence","Final figure, complete","1983","305000",""
"United States of America","1982","Total","June","Data tabulated by year of occurrence","Final figure, complete","1983","302000",""
"United States of America","1982","Total","July","Data tabulated by year of occurrence","Final figure, complete","1983","339000",""
"United States of America","1982","Total","August","Data tabulated by year of occurrence","Final figure, complete","1983","323000",""
"United States of America","1982","Total","September","Data tabulated by year of occurrence","Final figure, complete","1983","315000",""
"United States of America","1982","Total","October","Data tabulated by year of occurrence","Final figure, complete","1983","323000",""
"United States of America","1982","Total","November","Data tabulated by year of occurrence","Final figure, complete","1983","300000",""
"United States of America","1982","Total","December","Data tabulated by year of occurrence","Final figure, complete","1983","320000",""
"United States of America","1981","Total","January","Data tabulated by year of occurrence","Final figure, complete","1983","294632",""
"United States of America","1981","Total","February","Data tabulated by year of occurrence","Final figure, complete","1983","273234",""
"United States of America","1981","Total","March","Data tabulated by year of occurrence","Final figure, complete","1983","301691",""
"United States of America","1981","Total","April","Data tabulated by year of occurrence","Final figure, complete","1983","285578",""
"United States of America","1981","Total","May","Data tabulated by year of occurrence","Final figure, complete","1983","296323",""
"United States of America","1981","Total","June","Data tabulated by year of occurrence","Final figure, complete","1983","297935",""
"United States of America","1981","Total","July","Data tabulated by year of occurrence","Final figure, complete","1983","326182",""
"United States of America","1981","Total","August","Data tabulated by year of occurrence","Final figure, complete","1983","329870",""
"United States of America","1981","Total","September","Data tabulated by year of occurrence","Final figure, complete","1983","319971",""
"United States of America","1981","Total","October","Data tabulated by year of occurrence","Final figure, complete","1983","309106",""
"United States of America","1981","Total","November","Data tabulated by year of occurrence","Final figure, complete","1983","290843",""
"United States of America","1981","Total","December","Data tabulated by year of occurrence","Final figure, complete","1983","303873",""
"United States of America","1980","Total","January","Data tabulated by year of occurrence","Final figure, complete","1982","292009",""
"United States of America","1980","Total","February","Data tabulated by year of occurrence","Final figure, complete","1982","279961",""
"United States of America","1980","Total","March","Data tabulated by year of occurrence","Final figure, complete","1982","297309",""
"United States of America","1980","Total","April","Data tabulated by year of occurrence","Final figure, complete","1982","286780",""
"United States of America","1980","Total","May","Data tabulated by year of occurrence","Final figure, complete","1982","293687",""
"United States of America","1980","Total","June","Data tabulated by year of occurrence","Final figure, complete","1982","293018",""
"United States of America","1980","Total","July","Data tabulated by year of occurrence","Final figure, complete","1982","321836",""
"United States of America","1980","Total","August","Data tabulated by year of occurrence","Final figure, complete","1982","323129",""
"United States of America","1980","Total","September","Data tabulated by year of occurrence","Final figure, complete","1982","320536",""
"United States of America","1980","Total","October","Data tabulated by year of occurrence","Final figure, complete","1982","311312",""
"United States of America","1980","Total","November","Data tabulated by year of occurrence","Final figure, complete","1982","289580",""
"United States of America","1980","Total","December","Data tabulated by year of occurrence","Final figure, complete","1982","303101",""
"United States of America","1979","Total","January","Data tabulated by year of occurrence","Final figure, complete","1991","284463",""
"United States of America","1979","Total","February","Data tabulated by year of occurrence","Final figure, complete","1991","260981",""
"United States of America","1979","Total","March","Data tabulated by year of occurrence","Final figure, complete","1991","288637",""
"United States of America","1979","Total","April","Data tabulated by year of occurrence","Final figure, complete","1991","271159",""
"United States of America","1979","Total","May","Data tabulated by year of occurrence","Final figure, complete","1991","287126",""
"United States of America","1979","Total","June","Data tabulated by year of occurrence","Final figure, complete","1991","282277",""
"United States of America","1979","Total","July","Data tabulated by year of occurrence","Final figure, complete","1991","311157",""
"United States of America","1979","Total","August","Data tabulated by year of occurrence","Final figure, complete","1991","318023",""
"United States of America","1979","Total","September","Data tabulated by year of occurrence","Final figure, complete","1991","306666",""
"United States of America","1979","Total","October","Data tabulated by year of occurrence","Final figure, complete","1991","304119",""
"United States of America","1979","Total","November","Data tabulated by year of occurrence","Final figure, complete","1991","288271",""
"United States of America","1979","Total","December","Data tabulated by year of occurrence","Final figure, complete","1991","291519",""
"United States of America","1978","Total","January","Data tabulated by year of occurrence","Final figure, complete","1979","270695",""
"United States of America","1978","Total","February","Data tabulated by year of occurrence","Final figure, complete","1979","249898",""
"United States of America","1978","Total","March","Data tabulated by year of occurrence","Final figure, complete","1979","276584",""
"United States of America","1978","Total","April","Data tabulated by year of occurrence","Final figure, complete","1979","254585",""
"United States of America","1978","Total","May","Data tabulated by year of occurrence","Final figure, complete","1979","270818",""
"United States of America","1978","Total","June","Data tabulated by year of occurrence","Final figure, complete","1979","270704",""
"United States of America","1978","Total","July","Data tabulated by year of occurrence","Final figure, complete","1979","294704",""
"United States of America","1978","Total","August","Data tabulated by year of occurrence","Final figure, complete","1979","302805",""
"United States of America","1978","Total","September","Data tabulated by year of occurrence","Final figure, complete","1979","293903",""
"United States of America","1978","Total","October","Data tabulated by year of occurrence","Final figure, complete","1979","288965",""
"United States of America","1978","Total","November","Data tabulated by year of occurrence","Final figure, complete","1979","274679",""
"United States of America","1978","Total","December","Data tabulated by year of occurrence","Final figure, complete","1979","284939",""
"United States of America","1975","Total","January","Data tabulated by year of occurrence","Final figure, complete","1976","259173",""
"United States of America","1975","Total","February","Data tabulated by year of occurrence","Final figure, complete","1976","238153",""
"United States of America","1975","Total","March","Data tabulated by year of occurrence","Final figure, complete","1976","261608",""
"United States of America","1975","Total","April","Data tabulated by year of occurrence","Final figure, complete","1976","250992",""
"United States of America","1975","Total","May","Data tabulated by year of occurrence","Final figure, complete","1976","261572",""
"United States of America","1975","Total","June","Data tabulated by year of occurrence","Final figure, complete","1976","255734",""
"United States of America","1975","Total","July","Data tabulated by year of occurrence","Final figure, complete","1976","279744",""
"United States of America","1975","Total","August","Data tabulated by year of occurrence","Final figure, complete","1976","279937",""
"United States of America","1975","Total","September","Data tabulated by year of occurrence","Final figure, complete","1976","273750",""
"United States of America","1975","Total","October","Data tabulated by year of occurrence","Final figure, complete","1976","267841",""
"United States of America","1975","Total","November","Data tabulated by year of occurrence","Final figure, complete","1976","249907",""
"United States of America","1975","Total","December","Data tabulated by year of occurrence","Final figure, complete","1976","265787",""
"United States of America","1974","Total","January","Data tabulated by year of occurrence","Final figure, complete","1976","257455",""
"United States of America","1974","Total","February","Data tabulated by year of occurrence","Final figure, complete","1976","236551",""
"United States of America","1974","Total","March","Data tabulated by year of occurrence","Final figure, complete","1976","257951",""
"United States of America","1974","Total","April","Data tabulated by year of occurrence","Final figure, complete","1976","246469",""
"United States of America","1974","Total","May","Data tabulated by year of occurrence","Final figure, complete","1976","256986",""
"United States of America","1974","Total","June","Data tabulated by year of occurrence","Final figure, complete","1976","250525",""
"United States of America","1974","Total","July","Data tabulated by year of occurrence","Final figure, complete","1976","279630",""
"United States of America","1974","Total","August","Data tabulated by year of occurrence","Final figure, complete","1976","286496",""
"United States of America","1974","Total","September","Data tabulated by year of occurrence","Final figure, complete","1976","283718",""
"United States of America","1974","Total","October","Data tabulated by year of occurrence","Final figure, complete","1976","280280",""
"United States of America","1974","Total","November","Data tabulated by year of occurrence","Final figure, complete","1976","258011",""
"United States of America","1974","Total","December","Data tabulated by year of occurrence","Final figure, complete","1976","265886",""
"United States of America","1973","Total","January","Data tabulated by year of occurrence","Final figure, complete","1975","265775",""
"United States of America","1973","Total","February","Data tabulated by year of occurrence","Final figure, complete","1975","241045",""
"United States of America","1973","Total","March","Data tabulated by year of occurrence","Final figure, complete","1975","268849",""
"United States of America","1973","Total","April","Data tabulated by year of occurrence","Final figure, complete","1975","247455",""
"United States of America","1973","Total","May","Data tabulated by year of occurrence","Final figure, complete","1975","254545",""
"United States of America","1973","Total","June","Data tabulated by year of occurrence","Final figure, complete","1975","254096",""
"United States of America","1973","Total","July","Data tabulated by year of occurrence","Final figure, complete","1975","275163",""
"United States of America","1973","Total","August","Data tabulated by year of occurrence","Final figure, complete","1975","281300",""
"United States of America","1973","Total","September","Data tabulated by year of occurrence","Final figure, complete","1975","270738",""
"United States of America","1973","Total","October","Data tabulated by year of occurrence","Final figure, complete","1975","265494",""
"United States of America","1973","Total","November","Data tabulated by year of occurrence","Final figure, complete","1975","251973",""
"United States of America","1973","Total","December","Data tabulated by year of occurrence","Final figure, complete","1975","260532",""
"United States of America","1972","Total","January","Data tabulated by year of occurrence","Final figure, complete","1974","275912",""
"United States of America","1972","Total","February","Data tabulated by year of occurrence","Final figure, complete","1974","262305",""
"United States of America","1972","Total","March","Data tabulated by year of occurrence","Final figure, complete","1974","273054",""
"United States of America","1972","Total","April","Data tabulated by year of occurrence","Final figure, complete","1974","254538",""
"United States of America","1972","Total","May","Data tabulated by year of occurrence","Final figure, complete","1974","269698",""
"United States of America","1972","Total","June","Data tabulated by year of occurrence","Final figure, complete","1974","259620",""
"United States of America","1972","Total","July","Data tabulated by year of occurrence","Final figure, complete","1974","277654",""
"United States of America","1972","Total","August","Data tabulated by year of occurrence","Final figure, complete","1974","287834",""
"United States of America","1972","Total","September","Data tabulated by year of occurrence","Final figure, complete","1974","282333",""
"United States of America","1972","Total","October","Data tabulated by year of occurrence","Final figure, complete","1974","275130",""
"United States of America","1972","Total","November","Data tabulated by year of occurrence","Final figure, complete","1974","263987",""
"United States of America","1972","Total","December","Data tabulated by year of occurrence","Final figure, complete","1974","276346",""
"United States of America","1971","Total","January","Data tabulated by year of occurrence","Final figure, complete","1974","312190",""
"United States of America","1971","Total","February","Data tabulated by year of occurrence","Final figure, complete","1974","283444",""
"United States of America","1971","Total","March","Data tabulated by year of occurrence","Final figure, complete","1974","307718",""
"United States of America","1971","Total","April","Data tabulated by year of occurrence","Final figure, complete","1974","285730",""
"United States of America","1971","Total","May","Data tabulated by year of occurrence","Final figure, complete","1974","284332",""
"United States of America","1971","Total","June","Data tabulated by year of occurrence","Final figure, complete","1974","284944",""
"United States of America","1971","Total","July","Data tabulated by year of occurrence","Final figure, complete","1974","304912",""
"United States of America","1971","Total","August","Data tabulated by year of occurrence","Final figure, complete","1974","312416",""
"United States of America","1971","Total","September","Data tabulated by year of occurrence","Final figure, complete","1974","310822",""
"United States of America","1971","Total","October","Data tabulated by year of occurrence","Final figure, complete","1974","302542",""
"United States of America","1971","Total","November","Data tabulated by year of occurrence","Final figure, complete","1974","281112",""
"United States of America","1971","Total","December","Data tabulated by year of occurrence","Final figure, complete","1974","285808",""
"United States of America","1970","Total","January","Data tabulated by year of occurrence","Final figure, complete","1974","301870",""
"United States of America","1970","Total","February","Data tabulated by year of occurrence","Final figure, complete","1974","281100",""
"United States of America","1970","Total","March","Data tabulated by year of occurrence","Final figure, complete","1974","307068",""
"United States of America","1970","Total","April","Data tabulated by year of occurrence","Final figure, complete","1974","286624",""
"United States of America","1970","Total","May","Data tabulated by year of occurrence","Final figure, complete","1974","297648",""
"United States of America","1970","Total","June","Data tabulated by year of occurrence","Final figure, complete","1974","302798",""
"United States of America","1970","Total","July","Data tabulated by year of occurrence","Final figure, complete","1974","329904",""
"United States of America","1970","Total","August","Data tabulated by year of occurrence","Final figure, complete","1974","330712",""
"United States of America","1970","Total","September","Data tabulated by year of occurrence","Final figure, complete","1974","331830",""
"United States of America","1970","Total","October","Data tabulated by year of occurrence","Final figure, complete","1974","323764",""
"United States of America","1970","Total","November","Data tabulated by year of occurrence","Final figure, complete","1974","309012",""
"United States of America","1970","Total","December","Data tabulated by year of occurrence","Final figure, complete","1974","329056",""
"United States of America","1969","Total","January","Data tabulated by year of occurrence","Final figure, complete","1974","293940",""
"United States of America","1969","Total","February","Data tabulated by year of occurrence","Final figure, complete","1974","270786",""
"United States of America","1969","Total","March","Data tabulated by year of occurrence","Final figure, complete","1974","296550",""
"United States of America","1969","Total","April","Data tabulated by year of occurrence","Final figure, complete","1974","282638",""
"United States of America","1969","Total","May","Data tabulated by year of occurrence","Final figure, complete","1974","289124",""
"United States of America","1969","Total","June","Data tabulated by year of occurrence","Final figure, complete","1974","291610",""
"United States of America","1969","Total","July","Data tabulated by year of occurrence","Final figure, complete","1974","318356",""
"United States of America","1969","Total","August","Data tabulated by year of occurrence","Final figure, complete","1974","321034",""
"United States of America","1969","Total","September","Data tabulated by year of occurrence","Final figure, complete","1974","312620",""
"United States of America","1969","Total","October","Data tabulated by year of occurrence","Final figure, complete","1974","311972",""
"United States of America","1969","Total","November","Data tabulated by year of occurrence","Final figure, complete","1974","297054",""
"United States of America","1969","Total","December","Data tabulated by year of occurrence","Final figure, complete","1974","314522",""

