"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2005","336920",""
"United States of America","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2005","330106",""
"United States of America","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2005","346754",""
"United States of America","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2005","337425",""
"United States of America","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2005","364226",""
"United States of America","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2005","360103",""
"United States of America","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2005","359644",""
"United States of America","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2005","354048",""
"United States of America","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2005","320094",""
"United States of America","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2005","343579",""
"United States of America","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","330674",""
"United States of America","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","303977",""
"United States of America","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","331505",""
"United States of America","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","324432",""
"United States of America","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","339007",""
"United States of America","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","327588",""
"United States of America","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","357669",""
"United States of America","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","359417",""
"United States of America","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","348814",""
"United States of America","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","345814",""
"United States of America","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","318573",""
"United States of America","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","334256",""
"United States of America","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2002","335198",""
"United States of America","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2002","303534",""
"United States of America","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2002","338684",""
"United States of America","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2002","323613",""
"United States of America","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2002","344017",""
"United States of America","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2002","331085",""
"United States of America","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2002","351047",""
"United States of America","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2002","361802",""
"United States of America","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2002","342564",""
"United States of America","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2002","344074",""
"United States of America","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2002","323746",""
"United States of America","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2002","326569",""
"United States of America","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2001","330108",""
"United States of America","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2001","317377",""
"United States of America","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2001","340553",""
"United States of America","2000","Total","April","Data tabulated by year of occurrence","Final figure, complete","2001","317180",""
"United States of America","2000","Total","May","Data tabulated by year of occurrence","Final figure, complete","2001","341207",""
"United States of America","2000","Total","June","Data tabulated by year of occurrence","Final figure, complete","2001","341206",""
"United States of America","2000","Total","July","Data tabulated by year of occurrence","Final figure, complete","2001","348975",""
"United States of America","2000","Total","August","Data tabulated by year of occurrence","Final figure, complete","2001","360080",""
"United States of America","2000","Total","September","Data tabulated by year of occurrence","Final figure, complete","2001","347609",""
"United States of America","2000","Total","October","Data tabulated by year of occurrence","Final figure, complete","2001","343921",""
"United States of America","2000","Total","November","Data tabulated by year of occurrence","Final figure, complete","2001","333811",""
"United States of America","2000","Total","December","Data tabulated by year of occurrence","Final figure, complete","2001","336787",""
"United States of America","1999","Total","January","Data tabulated by year of occurrence","Final figure, complete","2001","319182",""
"United States of America","1999","Total","February","Data tabulated by year of occurrence","Final figure, complete","2001","297568",""
"United States of America","1999","Total","March","Data tabulated by year of occurrence","Final figure, complete","2001","332939",""
"United States of America","1999","Total","April","Data tabulated by year of occurrence","Final figure, complete","2001","316889",""
"United States of America","1999","Total","May","Data tabulated by year of occurrence","Final figure, complete","2001","328526",""
"United States of America","1999","Total","June","Data tabulated by year of occurrence","Final figure, complete","2001","332201",""
"United States of America","1999","Total","July","Data tabulated by year of occurrence","Final figure, complete","2001","349812",""
"United States of America","1999","Total","August","Data tabulated by year of occurrence","Final figure, complete","2001","351371",""
"United States of America","1999","Total","September","Data tabulated by year of occurrence","Final figure, complete","2001","349409",""
"United States of America","1999","Total","October","Data tabulated by year of occurrence","Final figure, complete","2001","332980",""
"United States of America","1999","Total","November","Data tabulated by year of occurrence","Final figure, complete","2001","315289",""
"United States of America","1999","Total","December","Data tabulated by year of occurrence","Final figure, complete","2001","333251",""
"United States of America","1998","Total","January","Data tabulated by year of occurrence","Final figure, complete","2000","319340",""
"United States of America","1998","Total","February","Data tabulated by year of occurrence","Final figure, complete","2000","298711",""
"United States of America","1998","Total","March","Data tabulated by year of occurrence","Final figure, complete","2000","329436",""
"United States of America","1998","Total","April","Data tabulated by year of occurrence","Final figure, complete","2000","319758",""
"United States of America","1998","Total","May","Data tabulated by year of occurrence","Final figure, complete","2000","330519",""
"United States of America","1998","Total","June","Data tabulated by year of occurrence","Final figure, complete","2000","327091",""
"United States of America","1998","Total","July","Data tabulated by year of occurrence","Final figure, complete","2000","348651",""
"United States of America","1998","Total","August","Data tabulated by year of occurrence","Final figure, complete","2000","344736",""
"United States of America","1998","Total","September","Data tabulated by year of occurrence","Final figure, complete","2000","343384",""
"United States of America","1998","Total","October","Data tabulated by year of occurrence","Final figure, complete","2000","332790",""
"United States of America","1998","Total","November","Data tabulated by year of occurrence","Final figure, complete","2000","313241",""
"United States of America","1998","Total","December","Data tabulated by year of occurrence","Final figure, complete","2000","333896",""
"United States of America","1997","Total","January","Data tabulated by year of occurrence","Final figure, complete","1999","317211",""
"United States of America","1997","Total","February","Data tabulated by year of occurrence","Final figure, complete","1999","291541",""
"United States of America","1997","Total","March","Data tabulated by year of occurrence","Final figure, complete","1999","321212",""
"United States of America","1997","Total","April","Data tabulated by year of occurrence","Final figure, complete","1999","314230",""
"United States of America","1997","Total","May","Data tabulated by year of occurrence","Final figure, complete","1999","330331",""
"United States of America","1997","Total","June","Data tabulated by year of occurrence","Final figure, complete","1999","321867",""
"United States of America","1997","Total","July","Data tabulated by year of occurrence","Final figure, complete","1999","346506",""
"United States of America","1997","Total","August","Data tabulated by year of occurrence","Final figure, complete","1999","339122",""
"United States of America","1997","Total","September","Data tabulated by year of occurrence","Final figure, complete","1999","333600",""
"United States of America","1997","Total","October","Data tabulated by year of occurrence","Final figure, complete","1999","328657",""
"United States of America","1997","Total","November","Data tabulated by year of occurrence","Final figure, complete","1999","307282",""
"United States of America","1997","Total","December","Data tabulated by year of occurrence","Final figure, complete","1999","329335",""
"United States of America","1996","Total","January","Data tabulated by year of occurrence","Final figure, complete","1998","314283",""
"United States of America","1996","Total","February","Data tabulated by year of occurrence","Final figure, complete","1998","301763",""
"United States of America","1996","Total","March","Data tabulated by year of occurrence","Final figure, complete","1998","322581",""
"United States of America","1996","Total","April","Data tabulated by year of occurrence","Final figure, complete","1998","312595",""
"United States of America","1996","Total","May","Data tabulated by year of occurrence","Final figure, complete","1998","325708",""
"United States of America","1996","Total","June","Data tabulated by year of occurrence","Final figure, complete","1998","318525",""
"United States of America","1996","Total","July","Data tabulated by year of occurrence","Final figure, complete","1998","345162",""
"United States of America","1996","Total","August","Data tabulated by year of occurrence","Final figure, complete","1998","346317",""
"United States of America","1996","Total","September","Data tabulated by year of occurrence","Final figure, complete","1998","336348",""
"United States of America","1996","Total","October","Data tabulated by year of occurrence","Final figure, complete","1998","336346",""
"United States of America","1996","Total","November","Data tabulated by year of occurrence","Final figure, complete","1998","309397",""
"United States of America","1996","Total","December","Data tabulated by year of occurrence","Final figure, complete","1998","322469",""
"United States of America","1995","Total","January","Data tabulated by year of occurrence","Final figure, complete","1997","316013",""
"United States of America","1995","Total","February","Data tabulated by year of occurrence","Final figure, complete","1997","295094",""
"United States of America","1995","Total","March","Data tabulated by year of occurrence","Final figure, complete","1997","328503",""
"United States of America","1995","Total","April","Data tabulated by year of occurrence","Final figure, complete","1997","309119",""
"United States of America","1995","Total","May","Data tabulated by year of occurrence","Final figure, complete","1997","334543",""
"United States of America","1995","Total","June","Data tabulated by year of occurrence","Final figure, complete","1997","329805",""
"United States of America","1995","Total","July","Data tabulated by year of occurrence","Final figure, complete","1997","340873",""
"United States of America","1995","Total","August","Data tabulated by year of occurrence","Final figure, complete","1997","350737",""
"United States of America","1995","Total","September","Data tabulated by year of occurrence","Final figure, complete","1997","339103",""
"United States of America","1995","Total","October","Data tabulated by year of occurrence","Final figure, complete","1997","330012",""
"United States of America","1995","Total","November","Data tabulated by year of occurrence","Final figure, complete","1997","310817",""
"United States of America","1995","Total","December","Data tabulated by year of occurrence","Final figure, complete","1997","314970",""
"United States of America","1994","Total","January","Data tabulated by year of occurrence","Final figure, complete","1996","320705",""
"United States of America","1994","Total","February","Data tabulated by year of occurrence","Final figure, complete","1996","301327",""
"United States of America","1994","Total","March","Data tabulated by year of occurrence","Final figure, complete","1996","339736",""
"United States of America","1994","Total","April","Data tabulated by year of occurrence","Final figure, complete","1996","317392",""
